,lon,lat
OH - Toledo/North,-83.555212,41.6639383
AL - Birmingham,-86.80249,33.5206608
AL - Huntsville,-86.5861037,34.7303688
AL - Mobile,-88.0398912,30.6953657
AZ - Phoenix/Tucson,-110.8752633,32.1692086
CA - Fresno,-119.7725868,36.7468422
CA - Los Angeles,-118.2436849,34.0522342
CA - San Diego,-117.1610838,32.715738
CA - San Fran,-122.4194155,37.7749295
CA - Stockton/Lathrop,-121.218753,37.794835
CO - Denver,-104.9847179,39.737567
FL - Jacksonville,-81.655651,30.3321838
FL - Miami/Ft,-80.2040435,25.7890972
FL - Orlando/Titusville,-81.3399414,28.5828156
FL - Tampa,-82.4571776,27.950575
FL - Winter Haven,-81.7328567,28.0222435
GA - Atlanta,-84.3879824,33.7489954
GA - Cordele,-83.7823938,31.9635074
GA - Savannah,-81.0998342,32.0835407
IL - Chicago,-87.6297982,41.8781136
IL - Decatur,-88.9548001,39.8403147
IL - Rochelle,-89.0687073,41.9239178
IN - Evansville,-87.5710898,37.9715592
IN - Indianapolis,-86.158068,39.768403
KY - Georgetown,-84.5588311,38.2097967
KY - Louisville,-85.7584557,38.2526647
LA - New Orleans,-90.0715323,29.9510658
MA - Boston/Ayer,-71.536307,42.588925
MA - Springfield,-72.589811,42.1014831
MA - Worcester,-71.8022934,42.2625932
MD - Baltimore,-76.6121893,39.2903848
ME - Auburn,-70.2311655,44.0978509
MI - Detroit,-83.0457538,42.331427
MN - Minne/St,-94.6858998,46.729553
MO - Kansas City,-94.5785667,39.0997265
MO - St. Louis,-90.1994042,38.6270025
MS - Gulfport,-89.0928155,30.3674198
MS - Jackson,-90.1848103,32.2987573
MT - Billings,-108.5006904,45.7832856
NC - Charlotte,-80.8431267,35.2270869
NC - Greensboro,-79.7919754,36.0726354
NC - Wilmington,-77.9447102,34.2257255
ND - Fargo,-96.7898034,46.8771863
ND - Minot,-101.2922906,48.2329668
NE - Omaha,-95.9979883,41.2523634
NM - Albuquerque,-106.609991,35.110703
NV - Las Vegas,-115.1398296,36.1699412
NV - Reno,-119.8138027,39.5296329
NY - Albany,-73.7562317,42.6525793
NY - Buffalo,-78.8783689,42.8864468
NY - New York,-74.0059413,40.7127837
NY - Syracuse,-76.1474244,43.0481221
OH - Cincinnati,-84.5120196,39.1031182
OH - Cleveland,-81.6943605,41.49932
OH - Columbus,-82.9987942,39.9611755
OH - Toledo/North,-83.555212,41.6639383
OR - Portland,-122.6762071,45.5234515
PA - Allentown/Beth,-75.508223,40.5772698
PA - Harrisburg/Chmbrg,-76.9035619,40.299556
PA - Philadelphia,-75.163789,39.952335
PA - Pittsburgh,-79.9958864,40.4406248
PA - Scranton/Taylor,-75.6543388,41.4008484
SC - Charleston,-79.9310512,32.7764749
SC - Greer,-82.2270568,34.9387279
TN - Memphis,-90.0489801,35.1495343
TN - Nashville,-86.783333,36.166667
TX - Amarillo,-101.8312969,35.2219971
TX - Dallas/Ft,-97.026241,32.743344
TX - El Paso,-106.4424559,31.7775757
TX - Houston,-95.3693896,29.7601927
TX - Laredo,-99.4803241,27.5305671
TX - Rio Valley,-99.1437685,30.0406866
TX - San Antonio,-98.4936282,29.4241219
UT - Salt Lake,-111.8910474,40.7607793
VA - Front Royal,-78.1944446,38.9181671
VA - Norfolk,-76.2858726,36.8507689
VA - Richmond,-77.4360481,37.5407246
WA - Quincy,-119.8525504,47.2342997
WA - Seattle/Tacoma,-122.300497,47.44443
WA - Spokane,-117.4260466,47.6587802
WI - Arcadia,-91.5015432,44.2527405
WI - Chippewa Falls,-91.3929348,44.9369054
WI - Milwaukee,-87.9064736,43.0389025
WV - Prichard,-82.5984911,38.2400841
WY - Green River,-109.4662461,41.5285757
AB - Calgary,-114.0581012,51.0453246
AB - Edmonton,-113.4909267,53.544389
BC - Prince George,-122.7496693,53.9170641
BC - Prince Rupert,-130.3208187,54.3150367
BC - Vancouver,-123.1139268,49.261226
MB - Winnipeg,-97.1374937,49.8997541
NB - Moncton,-64.7782313,46.0878165
NS - Halifax,-63.5753196,44.6488625
ON - Dryden,-92.8369592,49.7800938
ON - Thunder Bay,-89.2476823,48.3808951
ON - Toronto,-79.3831843,43.653226
QC - Montreal,-73.5539925,45.5086699
SK - Regina,-104.606667,50.454722
SK - Saskatoon,-106.6700458,52.1332144
