,lon,lat
FRANKLIN -  TN,-86.8688899,35.9250637
CONCORD -  CA,-122.0310733,37.9779776
TYLER -  TX,-95.3010624,32.3512601
PHOENIX -  AZ,-112.0740373,33.4483771
NORTHLAKE -  IL,-87.8956185,41.9172526
MISSISSAUGA -  ON,-79.6441198,43.5890452
ORANGE -  CA,-117.8531119,33.7877944
BUFFALO -  NY,-78.8783689,42.8864468
LAS CRUCES -  NM,-106.7636538,32.3199396
LAKELAND -  FL,-81.9498042,28.0394654
SEATTLE -  WA,-122.3320708,47.6062095
BURIEN -  WA,-122.3467918,47.4703767
GRANDVILLE -  MI,-85.7630885,42.9097484
ENGLEWOOD CLIFFS -  NJ,-73.9523597,40.8853773
ROSEVILLE -  MN,-93.1566107,45.0060767
OMAHA -  NE,-95.9979883,41.2523634
CHATTANOOGA -  TN,-85.3096801,35.0456297
NAPERVILLE -  IL,-88.1618829,41.7460695
FARMINGTON -  NY,-77.321944,42.980833
RIVERVIEW -  FL,-82.3264809,27.8661364
STOUGHTON -  WI,-89.2178937,42.9169462
BUCHANAN -  MI,-86.3611248,41.8272684
MEMPHIS -  TN,-90.0489801,35.1495343
JEROME -  ID,-114.5186534,42.7240732
SKOKIE -  IL,-87.7416246,42.0324025
WESTERVILLE -  OH,-82.9290696,40.1261743
ELK GROVE VILLAGE -  IL,-87.9703461,42.0039178
RENO -  NV,-119.8138027,39.5296329
GLENSIDE -  PA,-75.1527928,40.0999077
FRISCO -  TX,-96.8236116,33.1506744
MURFREESBORO -  TN,-86.39027,35.8456213
PORTSMOUTH -  NH,-70.7625532,43.0717552
ROCHESTER -  NY,-77.6109219,43.16103
SEAFORD -  DE,-75.6110381,38.6412256
CORDOVA -  TN,-89.7615474,35.1598334
ST LAURENT -  PQ,-73.7497567,45.4985638
BOULDER JUNCTION -  WI,-89.6440966,46.1130404
VAN BUREN -  AR,-94.348268,35.436756
LEBANON -  PA,-76.4113497,40.3409251
EXETER -  NH,-70.9477546,42.9814292
EARTH CITY -  MO,-90.4667501,38.7699175
LA PINE -  OR,-121.503636,43.6703995
DENVER -  CO,-104.9847179,39.737567
BLUE BELL -  PA,-75.266289,40.1523309
TACOMA -  WA,-122.4442906,47.2528768
HOLLAND -  OH,-83.711604,41.621718
COOKEVILLE -  TN,-85.5016423,36.162839
EAST DUBUQUE -  IL,-90.6429054,42.4922253
SECAUCUS -  NJ,-74.0565298,40.7895453
SALT LAKE CITY -  UT,-111.8910474,40.7607793
CHICAGO -  IL,-87.6297982,41.8781136
PORTLAND -  OR,-122.6762071,45.5234515
KENNEWICK -  WA,-119.1372338,46.2112458
FRESNO -  CA,-119.7725868,36.7468422
VALPARAISO -  IN,-87.0611412,41.4730948
ROME -  GA,-85.1646726,34.257038
BOLINGBROOK -  IL,-88.0683955,41.6986416
JACKSONVILLE -  FL,-81.655651,30.3321838
BURLINGTON -  NJ,-74.8648873,40.071222
ANN ARBOR -  MI,-83.7430378,42.2808256
FRANKFORT -  IL,-87.8486613,41.4958665
GLENDALE HEIGHTS -  IL,-88.0717353,41.9103068
EVERETT -  WA,-122.2020794,47.9789848
MONDOVI -  WI,-91.6709927,44.5677422
DAVIDSON -  NC,-80.8486846,35.4993031
WOODRIDGE -  IL,-88.0503406,41.7469749
ST HUBERT -  PQ,-73.4065074,45.4983322
PAULSBORO -  NJ,-75.2404607,39.830391
EDEN PRAIRIE -  MN,-93.470786,44.8546856
AUBURNDALE -  FL,-81.7886906,28.0652975
SAINT LOUIS -  MO,-90.1994042,38.6270025
PAPILLION -  NE,-96.0422378,41.1544432
ITASCA -  IL,-88.0072909,41.9750287
INDIANAPOLIS -  IN,-86.158068,39.768403
IRVING -  TX,-96.9488945,32.8140177
PALMER -  MA,-72.3286869,42.1584103
FAIRFIELD -  NJ,-74.3059959,40.8837406
CINCINNATI -  OH,-84.5120196,39.1031182
VINELAND -  NJ,-75.0259637,39.4863773
WILMINGTON -  NC,-77.9447102,34.2257255
CRANFORD -  NJ,-74.2995928,40.6584212
BROOKLYN -  NY,-73.9441579,40.6781784
ROCHESTER -  PA,-80.2864509,40.7022882
YORK -  SC,-81.2420175,34.9943021
HOUSTON -  TX,-95.3693896,29.7601927
GREENSBORO -  NC,-79.7919754,36.0726354
BOUNTIFUL -  UT,-111.880771,40.8893895
ALPHARETTA -  GA,-84.2940899,34.0753762
LENEXA -  KS,-94.7335709,38.9536174
GRAND JUNCTION -  CO,-108.5506486,39.0638705
BOCA RATON -  FL,-80.1289321,26.3683064
HENDERSONVILLE -  TN,-86.6199957,36.3047735
NORTHFIELD -  IL,-87.7808967,42.09975
FORT SMITH -  AR,-94.3985475,35.3859242
KINGSTON -  WA,-122.4981921,47.7987072
WOOD RIVER -  IL,-90.0976069,38.861159
AMHERST -  NY,-78.7914222,42.9756133
TINLEY PARK -  IL,-87.7932939,41.5731442
FLORENCE -  KY,-84.6266111,38.9989499
LA MIRADA -  CA,-118.0120086,33.9172357
SHAWNEE -  KS,-94.7151865,39.0228485
MONTREAL -  PQ,-73.5539925,45.5086699
FORT MYERS -  FL,-81.8723084,26.640628
LIMERICK -  PA,-75.5221245,40.2309343
LOS ANGELES -  CA,-118.2436849,34.0522342
CITY OF COMMERCE -  CA,-118.1597929,34.0005691
BOSTON -  MA,-71.0597732,42.3584308
CAROL STREAM -  IL,-88.1347927,41.9125286
GREEN BAY -  WI,-88.019826,44.519159
LAKE ZURICH -  IL,-88.0934108,42.1969689
CORONA -  CA,-117.5664384,33.8752935
ROLLING MEADOWS -  IL,-88.0131275,42.0841936
WENTZVILLE -  MO,-90.8529107,38.81144
CEDAR RAPIDS -  IA,-91.6656232,41.9778795
OAK LAWN -  IL,-87.7479528,41.719978
GIBSONIA -  PA,-79.9703318,40.6300567
GREENWOOD -  IN,-86.1066526,39.6136578
MURRIETA -  CA,-117.2139232,33.5539143
PITTSBURGH -  PA,-79.9958864,40.4406248
SANTA MONICA -  CA,-118.4911912,34.0194543
TROY -  MO,-90.9806954,38.9794922
LANGHORNE -  PA,-74.9226665,40.1745538
UNION GROVE -  WI,-88.0514731,42.688074
SAN DIEGO -  CA,-117.1610838,32.715738
MELROSE PARK -  IL,-87.8567276,41.9005865
SANTA ANA -  CA,-117.8678338,33.7455731
CHATSWORTH -  CA,-118.61481,34.2506356
CICERO -  IL,-87.7539448,41.8455877
GLADSTONE -  MO,-94.554677,39.2038918
PEARL RIVER -  NY,-74.0218063,41.0589855
TIGARD -  OR,-122.7714861,45.4312294
RANCHO CUCAMONGA -  CA,-117.5931084,34.1063989
MARIETTA -  GA,-84.5499327,33.952602
WESTMINSTER -  MD,-76.9958149,39.5753791
ANAHEIM -  CA,-117.9145036,33.8352932
SIOUX FALLS -  SD,-96.7311034,43.5445959
LAKE FOREST -  IL,-87.840625,42.2586342
KENT -  OH,-81.3578859,41.1536674
DEERFIELD BEACH -  FL,-80.0997657,26.3184123
WEST SACRAMENTO -  CA,-121.530234,38.5804609
MANITOWOC -  WI,-87.657584,44.0886059
MEDFORD -  OR,-122.8755949,42.3265152
SOLANA BEACH -  CA,-117.2711481,32.991155
OVERLAND PARK -  KS,-94.6707917,38.9822282
IXONIA -  WI,-88.597323,43.1438923
GRAPEVINE -  TX,-97.0780654,32.9342919
DEFIANCE -  OH,-84.3557802,41.2844933
WATSONVILLE -  CA,-121.7568946,36.910231
ROYAL PALM BEACH -  FL,-80.2306019,26.7083984
SANTA CLARITA -  CA,-118.542586,34.3916641
WAUKEE -  IA,-93.8855768,41.6119903
LAGUNA NIGUEL -  CA,-117.7075526,33.5225261
MOUNT PLEASANT -  SC,-79.8284258,32.8323225
DALLAS -  TX,-96.8004511,32.7801399
AVON -  MA,-71.0411582,42.1306554
OLATHE -  KS,-94.8191285,38.8813958
NORCROSS -  GA,-84.2135309,33.9412127
MINNEAPOLIS -  MN,-93.26667,44.983334
REDDING -  CA,-122.3916754,40.5865396
